A1,A
DENGSCHTLEESCHTUNGSSECTEUR1,Déngschtleeschtungssecteur
DENGSCHTWON1,Déngschtwon
DENGUEFEIWER1,Dengueféiwer
DENKEN1,denken
DENKMAL1,Denkmal
DENKMALSCHUTZ1,Denkmalschutz
DENKWEIS1,Denkweis
DENN1,dënn
DENNDAARM1,Dënndaarm
DENSCHDEG1,Dënschdeg
DENSCHDEN1,Dënschden
DENSCHDES1,dënschdes
DENTIER1,Dentier
DEPANNAGE1,Depannage
DEPANNEIEREN1,depannéieren
DEPANNEUSE1,Depanneuse
DEPART1,Depart
DEPARTEMENT1,Departement
DEPASSEIEREN1,depasséieren
DEPASSEMENT1,Depassement
DEPENDANCE1,Dependance
DEPENSE1,Depense
DEPLACEIEREN1,deplacéieren
DEPLACEIERT1,deplacéiert
DEPLIANT1,Depliant
DEPONEIEREN1,deponéieren
DEPONIE1,Deponie
DEPORTATIOUN1,Deportatioun
DEPORTEIEREN1,deportéieren
DEPOSEIEREN1,deposéieren
DEPOSITAIRE1,Depositaire
DEPOT1,Depot
DEPPCHEN1,Dëppchen
DEPPEFEST1,Dëppefest
DEPPEGEISSER1,Dëppegéisser
DEPPEGEISSERIN1,Dëppegéisserin
DEPPEN1,Dëppen
DEPRESSIOUN1,Depressioun
DEPRESSIV1,depressiv
DEPRIME1,Deprime
DEPRIMEIEREN1,depriméieren
DEPRIMM1,Deprimm
DEPUTEIERT1,Deputéiert
DEPUTEIERT2,Députéiert
DEPUTEIERTEN1,Deputéierten
DEPUTEIERTEN2,Députéierten
DER1,der
DER2,der
DER3,Der
DER4,der
DER5,der-
DERANGEIEREN1,derangéieren
DERANGEMENT1,Derangement
DERBAI1,derbäi
DERBAI2,derbäi
DERBAIMAACHEN1,derbäimaachen
DERDUERCH1,derduerch
DERDUERCH2,derduerch
DERDUERCHBAISSEN1,derduerchbäissen
DERDUERCHMAACHEN1,derduerchmaachen
DERFIR1,derfir
DERGEINT1,dergéint
DERHANNER1,derhanner
DERHANNERKNEIEN1,derhannerknéien
DERHANNERT1,derhannert
DERHANNERTKNEIEN1,derhannertknéien
DERLAANSCHT1,derlaanscht
DERMAT1,dermat
DERMATOLOG1,Dermatolog
DERMATOLOGESCH1,dermatologesch
DERMATOLOGIE1,Dermatologie
DERMATOLOGIN1,Dermatologin
DERNIEFT1,dernieft
DERNIEFT2,dernieft
DERNIEFTBEHUELEN1,dernieftbehuelen
DERNIEWENT1,derniewent
DERNIEWENTBEHUELEN1,derniewentbehuelen
DERNO1,derno
DERNO2,derno
DEROUTEIEREN1,deroutéieren
DERTESCHENT1,dertëschent
DERTESCHENTFUEREN1,dertëschentfueren
DERTESCHENTGOEN1,dertëschentgoen
DERTESCHT1,dertëscht
DERVUKOMMEN1,dervukommen
DERVUMAACHEN1,dervumaachen
DERVUN1,dervun
DERWAERT1,derwäert
DERWEINST1,derwéinst
DERWIDDER1,derwidder
DERWIDDER2,derwidder
DERWIDDERGOEN1,derwiddergoen
DERZOU1,derzou
DES1,dës
DES2,des
DESAGREABEL1,desagreabel
DESASTER1,Desaster
DESAVANTAGE1,Desavantage
DESCENTE1,Descente
DESCH1,Dësch
DESCHELCHEN1,Dëschelchen
DESCHELDUCH1,Dëschelduch
DESCHNOPER1,Dëschnoper
DESCHNOPESCH1,Dëschnopesch
DESCHPLACK1,Dëschplack
DESCHTEL1,Dëschtel
DESCHTELPECKCHEN1,Dëschtelpéckchen
DESCHTENNIS1,Dëschtennis
DESCHTENNISCLUB1,Dëschtennisclub
DESEM1,dësem
DESEN1,dësen
DESER1,dëser
DESERTEIEREN1,desertéieren
DESERTEUR1,Deserteur
DESERTEURIN1,Deserteurin
DESES1,dëses
DESHYDRATATIOUN1,Deshydratatioun
DESHYDRATEIEREN1,deshydratéieren
DESIGN1,Design
DESIGNER1,Designer
DESIGNERIN1,Designerin
DESINFEKTIOUNSMETTEL1,Desinfektiounsmëttel
DESINFIZEIEREN1,desinfizéieren
DESINSTALLEIEREN1,desinstalléieren
DESINTERESSEIERT1,desinteresséiert
DESKTOP1,Desktop
DESLESCHT1,deslescht
DESSAIT1,dëssäit
DESSAIT2,dëssäit
DESSERT1,Dessert
DEST1,dëst
DESTABILISEIEREN1,destabiliséieren
DESTINATIOUN1,Destinatioun
DESTO1,desto
DETACHEIEREN1,detachéieren
DETAIL1,Detail
DETAILFRO1,Detailfro
DETAILLEIERT1,detailléiert
DETEKTIV1,Detektiv
DETEKTIVIN1,Detektivin
DEUXIEME1,Deuxième
DEUXPIECES1,Deux-pièces
DEVELOPPEIEREN1,developpéieren
DEVELOPPEMENT1,Developpement
DEVIATIOUN1,Deviatioun
DEVIATIOUNSSCHELD1,Deviatiounsschëld
DEVIS1,Devis
DEVISE1,Devise
DEZEMBER1,Dezember
DEZENT1,dezent
DEZILITER1,Deziliter
DEZIMALZUEL1,Dezimalzuel
DEZIMETER1,Dezimeter
DIA1,Dia
DIABETES1,Diabetes
DIABETIKER1,Diabetiker
DIABETIKERIN1,Diabetikerin
DIAGNOS1,Diagnos
DIAGNOSE1,Diagnose
DIAGNOSTIZEIEREN1,diagnostizéieren
DIAGRAMM1,Diagramm
DIAKON1,Diakon
DIAKONIN1,Diakonin
DIAKRITESCH1,diakritesch
DIALEKT1,Dialekt
DIALOG1,Dialog
DIAMANT1,Diamant
DIANJEN1,Diänjen
DIAPHRAGMA1,Diaphragma
DIASPROJEKTER1,Diasprojekter
DICHT1,dicht
DICHTEG1,dichteg
DICHTEN1,dichten
DICHTER1,Dichter
DICHTERIN1,Dichterin
DICHTUNG1,Dichtung
DICKDARM1,Dickdarm
DICKESCHBUR1,Dickeschbur
DICKWEILER1,Dickweiler
DICTEE1,Dictée
DICTIONNAIRE1,Dictionnaire
DIDAKTESCH1,didaktesch
DIDAKTIK1,Didaktik
DIDDELENG1,Diddeleng
DIDDELENGERBAACH1,Diddelenger_Baach
DIDDENUEWEN1,Diddenuewen
DIEBELEN1,diebelen
DIEDEGEN1,diedegen
DIENJEN1,Diënjen
DIER1,Dier
DIER2,dier
DIERBECH1,Dierbech
DIERCHEN1,Dierchen
DIERFCHEN1,Dierfchen
DIERFEN1,dierfen
DIERWIECHTER1,Dierwiechter
DIERWIECHTERIN1,Dierwiechterin
DIERZEN1,dierzen
DIESEL1,Diesel
DIESELAGGREGAT1,Dieselaggregat
DIESELLOKOMOTIV1,Diesellokomotiv
DIESELMOTOR1,Dieselmotor
DIETETICIEN1,Dieteticien
DIETETICIENNE1,Dieteticienne
DIFFERENZ1,Differenz
DIFFUSEIEREN1,diffuséieren
DIFFUSEUR1,Diffuseur
DIFFUSIOUN1,Diffusioun
DIGESTIF1,Digestif
DIGITAL1,digital
DIGITALISEIEREN1,digitaliséieren
DIGITALISEIERUNG1,Digitaliséierung
DIGNITEIT1,Dignitéit
DIICHTEN1,diichten
DIKRECH1,Dikrech
DIKRICH1,Dikrich
DIKS1,Diks
DIKSEN1,diksen
DIKTAT1,Diktat
DIKTATOR1,Diktator
DIKTATORIN1,Diktatorin
DIKTATUR1,Diktatur
DIKTEIEREN1,diktéieren
DIKTIOUN1,Diktioun
DILATATIOUN1,Dilatatioun
DILETTANT1,Dilettant
DILETTANTIN1,Dilettantin
DILL1,Dill
DILLEN1,dillen
DILLENDAPP1,Dillendapp
DIMENSIOUN1,Dimensioun
DIMINUTIV1,Diminutiv
DIMMER1,Dimmer
DIMMEREN1,dimmeren
DINDE1,Dinde
DINGWORT1,Dingwort
DINN1,dinn
DINOSAURIER1,Dinosaurier
DINOSAURIEREE1,Dinosaurieree
DINOSAURIERSKELETT1,Dinosaurierskelett
DIOPTRIE1,Dioptrie
DIPHTHERIE1,Diphtherie
DIPHTHONG1,Diphthong
DIPLOM1,Diplom
DIPLOMAT1,Diplomat
DIPLOMATESCH1,diplomatesch
DIPLOMATIE1,Diplomatie
DIPLOMATIN1,Diplomatin
DIPLOMEIERT1,diploméiert
DIPLOMIWWERREECHUNG1,Diplomiwwerreechung
DIPLOMPRUFUNG1,Diplomprüfung
DIPPECH1,Dippech
DIPPECHERGARE1,Dippecher_Gare
DIR1,dir
DIR2,dir
DIR3,Dir
DIRANGELEN1,dirängelen
DIRBECHT1,Dirbecht
DIRECTRICE1,Directrice
DIREKT1,direkt
DIREKT2,direkt
DIREKTER1,Direkter
DIREKTESCH1,Direktesch
DIREKTESCHPLAZ1,Direkteschplaz
DIREKTIOUN1,Direktioun
DIREKTIV1,Direktiv
DIRENDALL1,Direndall
DIRIGEIEREN1,dirigéieren
DIRIGENT1,Dirigent
DIRIGENTIN1,Dirigentin
DISCIPLINE1,Discipline
DISCIPLINEIERT1,disciplinéiert
DISCO1,Disco
DISCOTHEIK1,Discothéik
DISCOURS1,Discours
DISK1,Disk
DISKO1,Disko
DISKOTHEIK1,Diskothéik
DISKREDITEIEREN1,diskreditéieren
DISKRET1,diskret
DISKRETIOUN1,Diskretioun
DISKRIMINATIOUN1,Diskriminatioun
DISKRIMINEIEREN1,diskriminéieren
DISKRIMINEIERUNG1,Diskriminéierung
DISKUSSIOUN1,Diskussioun
DISKUSSIOUNSRONN1,Diskussiounsronn
DISKUTEIEREN1,diskutéieren
DISPENS1,Dispens
DISPENSEIEREN1,dispenséieren
DISPONIBEL1,disponibel
DISPONIBILITEIT1,Disponibilitéit
DISPOSEIEREN1,disposéieren
DISPOSITIF1,Dispositif
DISQUALIFIKATIOUN1,Disqualifikatioun
DISQUALIFIZEIEREN1,disqualifizéieren
DISQUE1,Disque
DISSERTATIOUN1,Dissertatioun
DISTANZ1,Distanz
DISTANZEIEREN1,distanzéieren
DISTINGUEIERT1,distinguéiert
DISTRAKTIOUN1,Distraktioun
DISTRIBUTEUR1,Distributeur
DISTRIKT1,Distrikt
DISZIPLIN1,Disziplin
DISZIPLINEIERT1,disziplinéiert
DITTI1,Ditti
DITZEN1,ditzen
DIVERS1,divers
DIVERSITEIT1,Diversitéit
DIVERTIKULITIS1,Divertikulitis
DIVIDEIEREN1,dividéieren
DIVISIOUN1,Divisioun
DIWWI1,Diwwi
DIXIEME1,Dixième
DJEFT1,djëft
DJEMBE1,Djembé
DO1,do
DO2,do-
DO3,Do
DO4,do
DOBAI1,dobäi
DOBAI2,dobäi
DOBANNEN1,dobannen
DOBAUSSEN1,dobaussen
DOBEHALEN1,dobehalen
DOBLEIWEN1,dobleiwen
DOCTRINE1,Doctrine
DOCUMENTAIRE1,Documentaire
DODUERCH1,doduerch
DODUERJER1,doduerjer
DOEN1,doen
DOFIR1,dofir
DOFIR2,dofir
DOFT1,Doft
DOFTEG1,dofteg
DOGEINT1,dogéint
DOGEINT2,dogéint
DOHALEN1,dohalen
DOHANNEN1,dohannen
DOHANNER1,dohanner
DOHANNERT1,dohannert
DOHEEM1,Doheem
DOHEEM2,doheem
DOHIGOEN1,dohigoen
DOHIN1,dohin
DOHINHALEN1,dohinhalen
DOHINNER1,dohinner
DOKES1,Dokes
DOKTER1,Dokter
DOKTERAARBECHT1,Dokteraarbecht
DOKTEREN1,dokteren
DOKTESCH1,Doktesch
DOKTESCHRECHNUNG1,Dokteschrechnung
DOKTORAND1,Doktorand
DOKTORANDIN1,Doktorandin
DOKTORAT1,Doktorat
DOKTRINN1,Doktrinn
DOKUMENT1,Dokument
DOKUMENTATIOUN1,Dokumentatioun
DOKUMENTEIEREN1,dokumentéieren
DOL1,Dol
DOLAANSCHT1,dolaanscht
DOLCH1,Dolch
DOLEANCE1,Doleance
DOLEINER1,Doléiner
DOLEINESCH1,Doléinesch
DOLMETSCHER1,Dolmetscher
DOLMETSCHERIN1,Dolmetscherin
DOMADDEN1,domadden
DOMADDER1,domadder
DOMAINE1,Domaine
DOMAINEHUESEKNAPPCHEN1,Domaine_Hueseknäppchen
DOMAN1,Domän
DOMAT1,domat
DOMINANT1,dominant
DOMINEIEREN1,dominéieren
DOMINICA1,Dominica
DOMINICANER1,Dominicaner
DOMINICANERIN1,Dominicanerin
DOMINICANESCH1,dominicanesch
DOMINIKANER1,Dominikaner
DOMINIKANERIN1,Dominikanerin
DOMINIKANESCH1,dominikanesch
DOMINIKANESCHREPUBLIK1,Dominikanesch_Republik
DOMINO1,Domino
DOMM1,domm
DOMM2,Domm
DOMMENDECK1,Dommendéck
DOMMHEET1,Dommheet
DOMPEG1,dompeg
DOMPTEUR1,Dompteur
DOMPTEUSE1,Dompteuse
DON1,Don
DONATEUR1,Donateur
DONATRICE1,Donatrice
DONDEL1,Dondel
DONIDDEN1,donidden
DONIEFT1,donieft
DONIEWENT1,doniewent
DONKEL1,donkel
DONKELBLO1,donkelblo
DONKELEBLIEDERVILLCHEN1,Donkele_Bliedervillchen
DONKELEJAIZERT1,Donkele_Jäizert
DONKELEWAASSERLEEFER1,Donkele_Waasserleefer
DONKELGRO1,donkelgro
DONKELS1,Donkels
DONNEE1,Donnée
DONNER1,Donner
DONNEREN2,donneren
DONNERSCHLAG1,Donnerschlag
DONNERWIEDER1,Donnerwieder
DONNESCHDEG1,Donneschdeg
DONNESCHDEN1,Donneschden
DONNESCHDES1,donneschdes
DONO1,dono
DONO2,dono
DONST1,Donst
DONSTEG1,donsteg
DONWEN1,Donwen
DOOSBERBRECK1,Doosber_Bréck
DOOSBUERG1,Doosbuerg
DOPPELPUNKT1,Doppelpunkt
DOPPEN1,doppen
DOPPING1,Dopping
DORAN1,doran
DORANNER1,doranner
DORAUS1,doraus
DORAUSER1,dorauser
DORAUSSER1,dorausser
DOREM1,dorëm
DOREMMER1,dorëmmer
DOREMMER2,dorëmmer
DOREMS1,dorëms
DORENNER1,dorënner
DORIWWER1,doriwwer
DOROBBER1,dorobber
DOROP1,dorop
DOROPPER1,doropper
DOROPS1,dorops
DOROPSHIN1,doropshin
DORTOIR1,Dortoir
DORUECHTER1,doruechter
DORUN1,dorun
DORUNNER1,dorunner
DOS1,Dos
DOSAGE1,Dosage
DOSE1,Dose
DOSEIEREN1,doséieren
DOSEIERUNG1,Doséierung
DOSEN1,Dosen
DOSENTEWEIS1,dosenteweis
DOSIS1,Dosis
DOSSIER1,Dossier
DOT1,Dot
DOTEN1,doten
DOTER1,doter
DOTESCHENT1,dotëschent
DOTT1,Dott
DOUANE1,Douane
DOUANIER1,Douanier
DOUANIERE1,Douanière
DOUBLEIEREN1,doubléieren
DOUCE1,douce
DOUCE2,douce
DOUD1,Doud
DOUDANGSCHT1,Doudangscht
DOUDEESCHT1,doudeescht
DOUDEG1,doudeg
DOUDEGRIEWER1,Doudegriewer
DOUDEGRIEWERIN1,Doudegriewerin
DOUDEKAPP1,Doudekapp
DOUDELLEN1,doudellen
DOUDELUED1,Doudelued
DOUDEMASS1,Doudemass
DOUDESAFFER1,Doudesaffer
DOUDESANNONCE1,Doudesannonce
DOUDESCHAIN1,Doudeschäin
DOUDESDAG1,Doudesdag
DOUDESFALL1,Doudesfall
DOUDESSTROF1,Doudesstrof
DOUDESUERTEEL1,Doudesuerteel
DOUDESURSAACH1,Doudesursaach
DOUDEWON1,Doudewon
DOUDGEFEIERLECH1,doudgeféierlech
DOUDKRANK1,doudkrank
DOUDLANGWEILEG1,doudlangweileg
DOUDMIDD1,doudmidd
DOUDONGLECKLECH1,doudonglécklech
DOUDSCHIEL1,doudschiel
DOUDSCHLECHT1,doudschlecht
DOUDSCHWEESS1,Doudschweess
DOUDSECHER1,doudsécher
DOUDSEND1,Doudsënd
DOUDSENN1,Doudsënn
DOUDVOLL1,doudvoll
DOUEIERT1,douéiert
DOUM1,Doum
DOUS1,Dous
DOUSTERTERHAFF1,Dousterterhaff
DOUT1,dout
DOUTKRAISCHEN1,doutkräischen
DOUTLAACHEN1,doutlaachen
DOUTMAACHEN1,doutmaachen
DOUTSAUFEN1,doutsaufen
DOUTSCHAFFEN1,doutschaffen
DOUTSCHLAG1,Doutschlag
DOUTSCHLOEN1,doutschloen
DOUTTREPPELEN1,douttrëppelen
DOUZIEME1,Douzième
DOVUN1,dovun
DOVUNNER1,dovunner
DOWEINST1,dowéinst
DOWEINST2,dowéinst
DOWEINSTER1,dowéinster
DOWIDDER1,dowidder
DOWNLOAD1,Download
DOWNLOADEN1,downloaden
DOWNSYNDROM1,Down-Syndrom
DOZOU1,dozou
DRAACH1,Draach
DRAFACHEN1,drafachen
DRAGEE1,Dragée
DRAGEIEREN1,dragéieren
DRAGUEIEREN1,draguéieren
DRAI1,dräi
DRAI2,Dräi
DRAIAFOFZEG1,dräiafofzeg
DRAIAFOFZEGST1,dräiafofzegst
DRAIANACHZEG1,dräianachzeg
DRAIANACHZEGST1,dräianachzegst
DRAIANDRESSEG1,dräiandrësseg
DRAIANDRESSEGST1,dräiandrëssegst
DRAIANNONZEG1,dräiannonzeg
DRAIANNONZEGST1,dräiannonzegst
DRAIANUECHZEG1,dräianuechzeg
DRAIANUECHZEGST1,dräianuechzegst
DRAIANZWANZEG1,dräianzwanzeg
DRAIANZWANZEGST1,dräianzwanzegst
DRAIASECHZEG1,dräiasechzeg
DRAIASECHZEGST1,dräiasechzegst
DRAIASIECHZEG1,dräiasiechzeg
DRAIASIECHZEGST1,dräiasiechzegst
DRAIASIWWENZEG1,dräiasiwwenzeg
DRAIASIWWENZEGST1,dräiasiwwenzegst
DRAIAVEIERZEG1,dräiavéierzeg
DRAIAVEIERZEGST1,dräiavéierzegst
DRAIBIZ1,Dräibiz
DRAIBUER1,Dräibuer
DRAIBUR1,Dräibur
DRAIDIMENSIONAL1,dräidimensional
DRAIECK1,Dräieck
DRAIECKSSCHELD1,Dräiecksschëld
DRAIERLEE1,dräierlee
DRAIFACH1,dräifach
DRAIFALTEGKEET1,Dräifaltegkeet
DRAIFCHEN1,Draifchen
DRAIKINNEKSDAG1,Dräikinneksdag
DRAIMOL1,dräimol
DRAIN1,Drain
DRAIRAD1,Dräirad
DRAIZEIWEMEIW1,Dräizéiweméiw
DRAIZENG1,dräizéng
DRAIZENGHONNERT1,dräizénghonnert
DRAIZENGT1,dräizéngt
DRAKUCKEN1,drakucken
DRALL1,Drall
DRAM1,Dram
DRAMA1,Drama
DRAMATESCH1,dramatesch
DRAMATISEIEREN1,dramatiséieren
DRAMAULEN1,dramaulen
DRAMBERUFF1,Dramberuff
DRAN1,dran
DRAN2,dran
DRANG1,Drang
DRANK1,Dränk
DRANKEN1,dränken
DRARIEDEN1,drarieden
DRASCHLOEN1,draschloen
DRASCHWATZEN1,draschwätzen
DRASTESCH1,drastesch
DRAUF1,Drauf
DRAUFELT1,Draufelt
DRAUS1,draus
DRAUWELIES1,Drauwelies
DRAUWENZORT1,Drauwenzort
DRECHEN1,dréchen
DRECHENT1,Dréchent
DRECHNEN2,dréchnen
DRECK1,Dreck
DRECKEG1,dreckeg
DRECKEN1,drécken
DRECKEN2,drécken
DRECKER1,Drécker
DRECKEREI1,Dréckerei
DRECKSAARBECHT1,Drecksaarbecht
DRECKSAK1,Drecksak
DRECKSAUTO1,Drecksauto
DRECKSBAC1,Drecksbac
DRECKSEEMER1,Dreckseemer
DRECKSKESCHT1,Dreckskëscht
DRECKSKIWWEL1,Dreckskiwwel
DRECKSMANNCHEN1,Drecksmännchen
DRECKSTIPP1,Dreckstipp
DRECKSTUT1,Dreckstut
DREEEN1,dreeën
DREEMEN1,dreemen
DREEMERT1,Dreemert
DREI1,Dréi
DREIBANK1,Dréibänk
DREIBUCH1,Dréibuch
DREIEN1,dréien
DREIER1,Dréier
DREIERIN1,Dréierin
DREIF1,dréif
DREIHALSCHEN1,Dréihälschen
DREIHALSCHEN2,Dréihälschen
DREIMOMENT1,Dréimoment
DREIMOMENTSCHLESSEL1,Dréimomentschlëssel
DREINEN1,dréinen
DREISCHEIF1,Dréischeif
DREISCHEL2,Dréischel
DREISCHEL3,Dréischel
DREITCHEN1,Dréitchen
DREIUERGEL1,Dréiuergel
DREIWEN2,dreiwen
DREIWER1,Dreiwer
DREIWER2,Dreiwer
DREM1,drëm
DREMS1,drëms
DRENGEND2,dréngend
DRENGLECHKEET1,Drénglechkeet
DRENKELT1,Drénkelt
DRENKEN1,drénken
DRENKGELD1,Drénkgeld
DRENKWAASSER1,Drénkwaasser
DRENNER1,drënner
DRENNER2,drënner
DREPP1,Drëpp
DREPPCHEN1,Drëppchen
DREPS1,Drëps
DREPSCHEN1,Drëpschen
DREPSEFORM1,Drëpseform
DREPSEN2,drëpsen
DRESCHEN1,dreschen
DRESS1,Dress
DRESSCODE1,Dresscode
DRESSEG1,drësseg
DRESSEGER1,Drësseger
DRESSEGERJOREN1,Drëssegerjoren
DRESSEGMOL1,drëssegmol
DRESSEGST1,drëssegst
DRESSEIEREN1,dresséieren
DRESSING1,Dressing
DRESSOIR1,Dressoir
DRETT1,drëtt
DRETTCHEN1,Drëttchen
DRETTEL1,Drëttel
DRETTENS1,drëttens
DRETTPERSOUN1,Drëttpersoun
DRETTSTAAT1,Drëttstaat
DRETTSTAT1,Drëttstat
DRIBBELEN1,dribbelen
DRIFF1,Driff
DRIIBSEG1,driibseg
DRIIBSEILEG1,driibséileg
DRIIBSEN1,driibsen
DRIIBSERT1,Driibsert
DRIL1,Dril
DRILL1,Drill
DRILLEN1,drillen
DRILLING1,Drilling
DRINGEND2,dringend
DRIVER1,Driver
DRIWWER1,driwwer
DRIWWER2,driwwer
DROBIER1,Drobier
DROCK1,Drock
DROCK2,Drock
DROCKFEELER1,Drockfeeler
DROCKFEHLER1,Drockfehler
DROCKMETTEL1,Drockmëttel
DROCKVERBAND1,Drockverband
DROEN1,droen
DROG1,Drog
DROGEBOSS1,Drogeboss
DROGEIEREN1,drogéieren
DROGEKRIMINALITEIT1,Drogekriminalitéit
DROGEMILIEU1,Drogemilieu
DROGENDEALER1,Drogendealer
DROGENDEALERIN1,Drogendealerin
DROGENHANDEL1,Drogenhandel
DROGENHANDLER1,Drogenhändler
DROGENHANDLERIN1,Drogenhändlerin
DROGENOFHANGEG1,drogenofhängeg
DROGENOFHANGEGKEET1,Drogenofhängegkeet
DROGEPROBLEM1,Drogeproblem
DROGESUCHT1,Drogesucht
DROGESUCHTEG1,drogesüchteg
DROGUEIEREN1,droguéieren
DROIT1,Droit
DROLEG1,droleg
DROMEDAR1,Dromedar
DRON1,Dron
DRONK1,Dronk
DRONKEG1,dronkeg
DRONKEN1,dronken
DRONKENELLEN1,Dronkenellen
DROP1,drop
DROP2,drop
DROPGANGER1,Dropgänger
DROPGANGERIN1,Dropgängerin
DROPGANGESCH1,Dropgängesch
DROPGOEN1,dropgoen
DROPMAACHEN1,dropmaachen
DROPMECHER1,Dropmécher
DROPMECHESCH1,Dropméchesch
DROT1,Drot
DRUDDEL1,Druddel
DRUDDELEN1,druddelen
DRUGINN1,druginn
DRUKOMMEN1,drukommen
DRULOOSSEN1,druloossen
DRUN1,drun
DRUN2,drun
DRUNHALEN1,drunhalen
DRUNHANKEN1,drunhänken
DRUS1,Drüs
DRUSETZEN1,drusetzen
DSCHIBUTESCH1,dschibutesch
DSCHIBUTI1,Dschibuti
DSCHIBUTIER1,Dschibutier
DSCHIBUTIERIN1,Dschibutierin
DSCHUNGEL1,Dschungel
DU1,du
DU2,du
DUBBEL1,Dubbel
DUBBEL2,Dübbel
DUBBEREN1,dubberen
DUBIEIS1,dubiéis
DUBNIUM1,Dubnium
DUCH1,Duch
DUCKEN1,ducken
DUDDELSAK1,Duddelsak
DUDDEREN1,dudderen
DUDDERHAFF1,Dudderhaff
DUEBEL1,duebel
DUEBELBEKASSINN1,Duebel_Bekassinn
DUECHTER1,Duechter
DUEDER1,Dueder
DUELEM2,Duelem
DUELEM3,Duelem
DUER1,duer
DUERCH2,duerch
DUERCH3,duerch
DUERCHAUS1,duerchaus
DUERCHBAISSEN1,duerchbäissen
DUERCHBLECK1,Duerchbléck
DUERCHBLECKEN1,duerchblécken
DUERCHBLIEDEREN1,duerchbliederen
DUERCHBLUDDEN1,duerchbludden
DUERCHBOXEN1,duerchboxen
DUERCHBRIECHEN1,duerchbriechen
DUERCHBRIECHEN2,duerchbriechen
DUERCHBROCH1,Duerchbroch
DUERCHCHECKEN1,duerchchecken
DUERCHDRECKEN1,duerchdrécken
DUERCHDREIEN1,duerchdréien
DUERCHDREINEN2,duerchdréinen
DUERCHDRIWWEN1,duerchdriwwen
DUERCHDUECHT1,duerchduecht
DUERCHERNANER1,Duerchernaner
DUERCHERNANER2,duerchernaner
DUERCHERNEEMAACHEN1,duercherneemaachen
DUERCHERNEEN1,Duercherneen
DUERCHERNEEN2,duercherneen
DUERCHERNEENDRENKEN1,duercherneendrénken
DUERCHFALEN1,duerchfalen
DUERCHFALL1,Duerchfall
DUERCHFEIEREN1,duerchfeieren
DUERCHFEIEREN2,duerchféieren
DUERCHFUEREN1,duerchfueren
DUERCHGANG1,Duerchgang
DUERCHGANK1,Duerchgank
DUERCHGEHEIEN1,duerchgeheien
DUERCHGINN1,duerchginn
DUERCHGOEN1,duerchgoen
DUERCHGRAIFEN1,duerchgräifen
DUERCHHALEN1,duerchhalen
DUERCHHUELEN1,duerchhuelen
DUERCHKOMMEN1,duerchkommen
DUERCHKUCKEN1,duerchkucken
DUERCHKUCKEN2,duerchkucken
DUERCHLIESEN1,duerchliesen
DUERCHLIICHTEN1,duerchliichten
DUERCHLOOSSEN1,duerchloossen
DUERCHMAACHEN1,duerchmaachen
DUERCHMIESSER1,Duerchmiesser
DUERCHPETZEN1,duerchpëtzen
DUERCHSCHAFFEN1,duerchschaffen
DUERCHSCHLOEN1,duerchschloen
DUERCHSCHNEIDEN1,duerchschneiden
DUERCHSCHNETT1,Duerchschnëtt
DUERCHSCHNETTLECH1,duerchschnëttlech
DUERCHSEEEN1,duerchseeën
DUERCHSETZEN1,duerchsetzen
DUERCHSICHEN1,duerchsichen
DUERCHSICHTEG1,duerchsichteg
DUERCHSICKEREN1,duerchsickeren
DUERCHSIICHTEG1,duerchsiichteg
DUERCHSTRAICHEN1,duerchsträichen
DUERCHWUESSEN1,duerchwuessen
DUERCHZEIEN1,duerchzéien
DUERCHZOCH1,Duerchzoch
DUERCHZUCH1,Duerchzuch
DUERF1,Duerf
DUERFCAFE1,Duerfcafé
DUERFEN1,duerfen
DUERFIR1,duerfir
DUERFKAR1,Duerfkär
DUERFKIERCH1,Duerfkierch
DUERFLIEWEN1,Duerfliewen
DUERFMUSEK1,Duerfmusek
DUERFUEREN1,duerfueren
DUERFVERAIN1,Duerfveräin
DUERGEHEIEN1,duergeheien
DUERGOEN1,duergoen
DUERHALEN1,duerhalen
DUERKOMMEN1,duerkommen
DUERLAFEN1,duerlafen
DUERLEEEN1,duerleeën
DUERMAACHEN1,duermaachen
DUERNO1,duerno
DUEROP1,duerop
DUERSCHT1,Duerscht
DUERSCHTERHAISCHEN1,Duerschter_Haischen
DUERSTELLEN1,duerstellen
DUERSTELLUNG1,Duerstellung
DUERTELDAUF1,Duerteldauf
DUESS1,Duess
DUGEND1,Dugend
DUMMELDENG1,Dummeldeng
DUMONGSHAFF1,Dumongshaff
DUNGEN1,düngen
DUNGER1,Dünger
DUNN1,Dunn
DUNN2,dunn
DUNNDARM1,Dünndarm
DUNNEN1,dunnen
DUO1,Duo
DUPLEX1,Duplex
DUPLIKAT1,Duplikat
DUPLIZEIEREN1,duplizéieren
DUSCH1,Dusch
DUSCHCABINE1,Duschcabine
DUSCHEN1,duschen
DUSCHKABINN1,Duschkabinn
DUSEL1,Dusel
DUSELEG1,duseleg
DUUSCHT1,Duuscht
DUUSCHTEN1,duuschten
DUUSCHTEREG1,duuschtereg
DUUSS1,duuss
DUUSS2,duuss
DUXALL1,Duxall
DUZEN1,duzen
DVD2,DVD
DYNAMESCH1,dynamesch
DYNAMIK1,Dynamik
DYNAMIT1,Dynamit
DYNASTIE1,Dynastie
DYSFONCTIONNEMENT1,Dysfonctionnement
DYSFUNKTIONAL1,dysfunktional
